"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","31 Jan 17","Canberra","Minister - Official Business","3","276.00","828.00","29-Jan-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","21 Feb 17","Sydney","Minister - Official Business","2","442.00","884.00","20-Feb-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","7 Mar 17","Canberra","Minister - Official Business","2","276.00","552.00","06-Mar-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","8 Mar 17","Sydney","Minister - Official Business","1","442.00","442.00","08-Mar-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","13 Mar 17","Canberra","Minister - Official Business","1","276.00","276.00","13-Mar-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","16 Mar 17","Melbourne","Minister - Official Business","3","442.00","1,326.00","14-Mar-2017","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017","",""
