"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Jan 17","13 Jan 17","Forbes","Electorate Business","1","372.00","372.00","13-Jan-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Jan 17","14 Jan 17","Parkes","Electorate Business","1","372.00","372.00","14-Jan-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","2 Feb 17","Canberra","Parliamentary Political Party Meeting","2","276.00","552.00","01-Feb-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Murray Bridge","Minister - Official Business","1","372.00","372.00","20-Feb-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Dubbo","Minister - Official Business","1","372.00","372.00","23-Feb-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","3 Nov 16","3 Nov 16","Brisbane","Minister - Official Business","1","434.00","434.00","03-Nov-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","06-Nov-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","14 Nov 16","14 Nov 16","Canberra","Minister - Official Business","1","276.00","276.00","14-Nov-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","16 Nov 16","16 Nov 16","Sydney","Minister - Official Business","1","442.00","442.00","16-Nov-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","1,104.00","20-Nov-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","1,380.00","27-Nov-2016",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","4 Dec 16","4 Dec 16","Sydney","Minister - Official Business","1","442.00","442.00","04-Dec-2016",""
