"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Jan 17","19 Jan 17","Adelaide","Minister - Official Business","1","386.00","386.00","19-Jan-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","31 Jan 17","Canberra","Minister - Official Business","2","276.00","552.00","30-Jan-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Feb 17","10 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","10-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","21 Feb 17","Sydney","Minister - Official Business","2","442.00","884.00","20-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","23 Feb 17","Adelaide","Minister - Official Business","2","386.00","772.00","22-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","25 Feb 17","25 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","25-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Minister - Official Business","5","276.00","1,380.00","26-Feb-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","7 Mar 17","Canberra","Minister - Official Business","2","276.00","552.00","06-Mar-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","9 Mar 17","Sydney","Minister - Official Business","2","442.00","884.00","08-Mar-2017",""
"Mitch Fifield","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","14 Mar 17","Canberra","Minister - Official Business","2","276.00","552.00","13-Mar-2017",""
