"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","13-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Melbourne","Minister - Official Business","1","442.00","442.00","19-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","27-Feb-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","20-Mar-2017","",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,873.06","01-Jan-2017","OS Ministerial - Accommodation and meals",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-2017","OS Ministerial - Equipment allowance",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","6,021.10","01-Jan-2017","OS Ministerial - Fares",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","252.00","01-Jan-2017","OS Ministerial - Minor official expense advance",""
"Paul Fletcher","Representative","Bradfield","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","74.56","01-Jan-2017","OS Ministerial - Travel advance",""
