"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","9 Feb 17","Sydney","Shadow Minister - Official Business","1","134.00","134.00","09-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","13-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Mar 17","1 Mar 17","Canberra","Sittings of Parliament","1","276.00","276.00","01-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","7 Mar 17","Adelaide","Shadow Minister - Official Business","1","362.00","362.00","07-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","20-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Melbourne to Sydney","","","842.36","30-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Sydney to Avalon Airport","","","208.18","30-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","637.91","06-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","628.69","09-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Avalon Airport","","","344.55","10-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Melbourne to Canberra","","","637.91","13-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","245.30","16-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Melbourne to Sydney","","","883.94","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Sydney to Melbourne","","","883.94","21-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Melbourne to Canberra","","","637.91","22-Feb-2017","",""
