"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 9 Jan to 22 Jan 17","","","120.05","22-Jan-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 22 Jan to 21 Feb 17","","","1,067.44","21-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 5 Feb to 26 Feb 17","","","228.56","26-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 7 Feb to 22 Feb 17","","","1.01","22-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 22 Feb to 21 Mar 17","","","1,067.44","21-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 25 Oct to 20 Nov 16","","","220.95","20-Nov-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 31 Oct to 7 Nov 16","","","0.67","07-Nov-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 22 Nov to 21 Dec 16","","","1,067.44","21-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 26 Nov to 19 Dec 16","","","205.14","19-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 30 Nov 16","","","0.68","30-Nov-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 22 Dec 16 to 21 Jan 17","","","1,067.44","22-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","42,195.10","01-Jan-1900"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","3,958.04","01-Jan-1900"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","41.96","31-Jan-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","984.40","31-Jan-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","61.74","27-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","5.28","27-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Nov to 30 Nov 16","","","384.67","30-Nov-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","582.75","27-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","68.74","27-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Dec to 31 Dec 16","","","63.93","31-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Flags 1 Dec to 31 Dec 16","","","471.80","31-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","21.74","28-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","7.75","28-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","497.77","31-Jan-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 25 Jan 17","","","250.00","25-Jan-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Feb to 28 Feb 17","","","1,346.53","28-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Feb to 28 Feb 17","","","-22.73","28-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 24 Feb 17","","","330.00","24-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 28 Feb 17","","","295.00","28-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 387 rental 1 Apr 17 to 31 Mar 18","","","169.09","01-Apr-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 25 Nov 16","","","18.18","25-Nov-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1 Printed item 25 Nov 16","","","295.00","25-Nov-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","1,288.18","31-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 1 Dec to 31 Dec 16","","","-22.73","31-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1 Printed item 22 Dec 16","","","475.00","22-Dec-2016"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Sunday Telegraph 7 Jan to 5 Feb 17","","","13.64","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Daily Telegraph (Sat) 7 Jan to 5 Feb 17","","","10.91","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Sun-Herald 7 Jan to 5 Feb 17","","","15.00","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Sydney Morning Herald (Sat) 7 Jan to 5 Feb 17","","","17.27","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Weekend Australian 7 Jan to 5 Feb 17","","","15.91","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 The Weekend Financial Review 7 Jan to 5 Feb 17","","","18.18","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","Administrative fees 7 Jan to 5 Feb 17","","","9.82","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","5 Illawarra Mercury (Sat) 7 Jan to 5 Feb 17","","","10.45","05-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","21 Illawarra Mercury 30 Jan to 26 Feb 17","","","26.73","26-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","Administrative fees 30 Jan to 26 Feb 17","","","1.82","26-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","21 The Australian Financial Review 30 Jan to 26 Feb 17","","","76.36","26-Feb-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Sunday Telegraph 11 Feb to 5 Mar 17","","","10.91","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 Illawarra Mercury (Sat) 11 Feb to 5 Mar 17","","","8.36","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Daily Telegraph (Sat) 11 Feb to 5 Mar 17","","","8.73","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Sun-Herald 11 Feb to 5 Mar 17","","","12.00","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Sydney Morning Herald (Sat) 11 Feb to 5 Mar 17","","","13.82","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Weekend Australian 11 Feb to 5 Mar 17","","","12.73","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Weekend Financial Review 11 Feb to 5 Mar 17","","","14.55","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","Administrative fees 11 Feb to 5 Mar 17","","","8.04","05-Mar-2017"
"Sharon Bird","Representative","Cunningham","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","20 The Australian Financial Review 28 Nov to 25 Dec 16","","","72.73","25-Dec-2016"
