"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Jan 17","5 Jan 17","Bicheno","Electorate Business","1","268.00","268.00","05-Jan-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Jan 17","18 Jan 17","Brisbane","President of the Senate - Official Business","1","434.00","434.00","18-Jan-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","30 Jan 17","Canberra","President of the Senate - Official Business","2","276.00","552.00","29-Jan-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Feb 17","3 Feb 17","Brisbane","President of the Senate - Official Business","1","434.00","434.00","03-Feb-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Sydney","President of the Senate - Official Business","1","442.00","442.00","21-Feb-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Senate Estimates","4","276.00","1,104.00","26-Feb-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Burnie","Electorate Business","1","314.00","314.00","06-Mar-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","15 Mar 17","Canberra","President of the Senate - Official Business","2","276.00","552.00","14-Mar-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Mar 17","17 Mar 17","Launceston","Electorate Business","1","372.00","372.00","17-Mar-2017","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Dec 16","20 Dec 16","Ulverstone","Electorate Business","1","372.00","372.00","20-Dec-2016","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","21 Dec 16","21 Dec 16","Burnie","Electorate Business","1","372.00","372.00","21-Dec-2016","",""
"Stephen Parry","Senator","","Tasmania","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","555.28","01-Jan-2017","OS Official - Accommodation and meals",""
