"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Adelaide to Canberra","","","202.81","06-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","286.82","10-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Adelaide","","","","10-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Canberra","","","202.81","12-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","354.03","17-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Adelaide","","","290.85","17-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Adelaide to Sydney","","","125.98","24-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Adelaide","","","174.82","24-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Adelaide to Canberra","","","403.30","26-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Adelaide","","","320.35","03-Mar-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Sydney","","","50.61","17-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Sydney","","","53.79","17-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Car Costs","COMCAR","From 1 January 2017","","","","24 Feb 17 - Sydney","","","104.80","24-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Car Costs","COMCAR","From 1 January 2017","","","","24 Feb 17 - Sydney","","","51.09","24-Feb-2017",""
"Stirling Griff","Senator","","South Australia","Nick Xenophon Team","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Adelaide","","","41.80","03-Mar-2017",""
