"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","8 Mar 17","Adelaide","Chair Parl Committee on Committee Business","2","362.00","724.00","07-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","13 Mar 17","Canberra","Chair Parl Committee on Committee Business","1","276.00","276.00","13-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Coolangatta to Melbourne","","","551.93","29-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Cairns","","","1,191.57","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Cairns to Darwin","","","538.20","31-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Darwin to Brisbane","","","1,369.63","01-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Coolangatta to Sydney","","","688.38","06-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","","06-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Brisbane","","","739.64","10-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","739.64","12-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Brisbane","","","739.64","16-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Coolangatta to Sydney","","","577.20","22-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Coolangatta","","","577.20","22-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","739.64","26-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Sydney","","","354.03","02-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Brisbane to Adelaide","","","1,055.69","07-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Adelaide to Melbourne","","","705.78","09-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Melbourne to Coolangatta","","","551.93","10-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Coolangatta to Canberra","","","643.61","13-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Canberra to Brisbane","","","739.64","14-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","739.64","19-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Sydney","","","121.30","23-Mar-2017","",""
