"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Feb 17","17 Feb 17","Melbourne","Electorate Business","1","128.00","128.00","17-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","203.37","05-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Brisbane","","","204.64","09-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","203.37","12-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","203.37","26-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Brisbane","","","203.37","03-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Brisbane to Melbourne","","","198.51","13-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Brisbane","","","198.51","15-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Brisbane to Canberra","","","203.37","19-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Brisbane","","","497.34","23-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","4 Dec 16 - Brisbane to Melbourne","","","301.36","04-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Melbourne to Brisbane","","","301.36","08-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Brisbane","","","78.60","05-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Brisbane","","","78.60","12-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Melbourne","","","67.97","17-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Feb 17 - Brisbane","","","84.20","19-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","13 Mar 17 - Brisbane","","","85.51","13-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","13 Mar 17 - Melbourne","","","82.80","13-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Mar 17 - Melbourne","","","97.49","14-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Melbourne","","","70.32","15-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Brisbane","","","78.60","19-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Mar 17 - Brisbane","","","78.60","26-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Car Costs","Parking","From 1 January 2017","","","","Parking between 26 Feb and 3 Mar 17","","","104.55","03-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","19,402.70","01-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","1,123.26","01-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","227.45","31-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","General office consumables 1 Jan 17","","","9.91","01-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","2,956.14","31-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 24 Jan to 23 Feb 17","","","478.11","23-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 24 Jan to 23 Feb 17","","","2.59","23-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Water refills 3 Feb 17","","","20.80","03-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","General office consumables 1 Nov to 30 Nov 16","","","56.33","30-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Nov to 23 Dec 16","","","566.18","23-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Nov to 23 Dec 16","","","11.87","23-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","General office consumables 1 Dec to 31 Dec 16","","","6.77","31-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Dec 16 to 23 Jan 17","","","83.85","24-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Dec 16 to 23 Jan 17","","","2.40","24-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","27.76","31-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","General office consumables 1 Feb to 28 Feb 17","","","18.18","28-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Feb to 28 Feb 17","","","75.54","28-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 8 Feb 17","","","15.00","08-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","10,000 Printed items 8 Feb 17","","","48.00","08-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 8 Feb 17","","","30.00","08-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 8 Feb 17","","","-3.90","08-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 42 rental 1 Apr 17 to 31 Mar 18","","","271.82","01-Apr-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1 Printed item 1 Oct 16","","","75.00","01-Oct-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","2,500 Personalised letterhead stationery 18 Oct 16","","","55.00","18-Oct-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Nov to 30 Nov 16","","","23.14","30-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1,000 Personalised letterhead stationery 10 Nov 16","","","613.65","10-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","3,000 Personalised letterhead stationery 10 Nov 16","","","313.64","10-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","7,000 Personalised letterhead stationery 16 Nov 16","","","2,418.18","16-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","3,510 Printed items 29 Nov 16","","","168.48","29-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","43.18","31-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution late payment fee Dec 16","","","15.00","01-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","3,360 Printed items 23 Dec 16","","","161.28","23-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","100 Printed items 23 Dec 16","","","6.30","23-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","16 The Australian 9 Jan to 31 Jan 17","","","39.27","31-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","16 The Courier Mail 9 Jan to 31 Jan 17","","","21.82","31-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","15 The Australian Financial Review 9 Jan to 31 Jan 17","","","54.55","31-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","20 The Courier Mail 1 Feb to 28 Feb 17","","","27.27","28-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","20 The Australian 1 Feb to 28 Feb 17","","","52.09","28-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","20 The Australian Financial Review 1 Feb to 28 Feb 17","","","72.73","28-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","22 The Courier Mail 1 Nov to 30 Nov 16","","","30.00","30-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","22 The Australian 1 Nov to 30 Nov 16","","","54.00","30-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","21 The Australian Financial Review 1 Nov to 30 Nov 16","","","76.36","30-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","14 The Courier Mail 1 Dec to 20 Dec 16","","","19.09","20-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","14 The Australian Financial Review 1 Dec to 20 Dec 16","","","50.91","20-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","14 The Australian 1 Dec to 20 Dec 16","","","34.36","20-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 21 Jan 17","","","342.25","21-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 21 Jan 17","","","31.77","21-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 21 Feb 17","","","376.45","21-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 21 Feb 17","","","32.25","21-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 21 Mar 17","","","474.37","21-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 21 Mar 17","","","270.19","21-Mar-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office phones 21 Dec 16","","","335.66","21-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office fax 21 Dec 16","","","31.77","21-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Residential phones 25 Jan 17","","","29.94","25-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Dedicated data line 25 Jan 17","","","90.00","25-Jan-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Residential phones 22 Feb 17","","","29.94","22-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Dedicated data line 22 Feb 17","","","90.00","22-Feb-2017",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Residential phones 23 Aug 16","","","34.53","23-Aug-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Dedicated data line 23 Aug 16","","","90.00","23-Aug-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Residential phones 23 Nov 16","","","29.94","23-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Dedicated data line 23 Nov 16","","","90.00","23-Nov-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Residential phones 22 Dec 16","","","29.94","22-Dec-2016",""
"Susan Lamb","Representative","Longman","Queensland","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Dedicated data line 22 Dec 16","","","90.00","22-Dec-2016",""
