"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","289.27","05-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","1,209.10","10-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Maroochydore","","","","10-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","203.37","12-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Brisbane","","","203.37","17-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","203.37","26-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Brisbane","","","203.37","03-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Buderim to Brisbane Airport 12 Feb 17","","","59.40","12-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Brisbane Airport to Buderim 17 Feb 17","","","59.40","17-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Buderim to Brisbane Airport 26 Feb 17","","","59.40","26-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Brisbane Airport to Buderim 3 Mar 17","","","59.40","03-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Brisbane","","","178.16","05-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Canberra","","","40.00","10-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Canberra","","","40.00","17-Feb-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.00","24-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","26 Mar 17 - Brisbane","","","179.47","26-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Mar 17 - Canberra","","","40.00","28-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","30 Mar 17 - Canberra","","","40.00","30-Mar-2017",""
"Ted O'Brien","Representative","Fairfax","Queensland","Liberal Party of Australia","Car Costs","Parking","From 1 January 2017","","","","Parking between 12 Feb and 17 Feb 17","","","130.00","17-Feb-2017",""
