"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Jan 17","15 Jan 17","Brisbane","Shadow Minister - Official Business","1","411.00","411.00","15-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Jan 17","16 Jan 17","Brisbane","Shadow Minister - Official Business","1","411.00","411.00","16-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Jan 17","17 Jan 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","17-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Jan 17","18 Jan 17","Melbourne","Shadow Minister - Official Business","1","128.00","128.00","18-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Newcastle","Shadow Minister - Official Business","1","319.00","319.00","31-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","01-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","14 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","12-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","23-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","27-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Jan 17 - Perth to Brisbane","","","1,880.19","15-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Brisbane to Sydney","","","729.37","17-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Jan 17 - Sydney to Melbourne","","","326.27","18-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Jan 17 - Melbourne to Adelaide","","","1,212.23","19-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Jan 17 - Adelaide to Perth","","","","19-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Perth to Brisbane","","","1,295.24","30-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Brisbane to Newcastle","","","","31-Jan-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Newcastle to Sydney","","","40.00","01-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Perth","","","2,104.93","02-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Perth to Sydney","","","1,682.32","05-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","","06-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Perth","","","827.90","09-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Perth to Sydney","","","1,682.32","12-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Sydney to Canberra","","","","13-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Perth","","","1,769.77","16-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Perth to Sydney","","","2,047.24","23-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Perth","","","704.88","24-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Perth to Sydney","","","1,682.32","26-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Sydney to Canberra","","","","27-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Perth","","","1,769.77","02-Mar-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 24 Jan to 13 Feb 17","","","621.49","13-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 13 Feb to 27 Feb 17","","","499.34","27-Feb-2017",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Dec 16","","","73.29","03-Dec-2016",""
"Tim Hammond","Representative","Perth","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 24 Dec 16 to 23 Jan 17","","","917.44","24-Dec-2016",""
