"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","7 Mar 17","Canberra","Electorate Business","1","276.00","276.00","07-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","716.51","05-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Melbourne","","","716.51","09-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","716.51","12-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","716.51","16-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","751.97","26-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","751.97","03-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Canberra","","","751.97","07-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Canberra to Melbourne","","","751.97","08-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","751.97","19-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 7 Jan 17","","","52.05","07-Jan-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 23 Jan to 22 Feb 17","","","168.02","22-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 25 Jan to 24 Feb 17","","","583.02","24-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Accident excess 8 Feb 17","","","909.09","08-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 25 Feb to 24 Mar 17","","","583.02","24-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin fee 25 Nov 16","","","370.50","25-Nov-2016",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 25 Nov 16","","","-669.63","25-Nov-2016",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 13 Dec to 15 Dec 16","","","57.32","15-Dec-2016",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 25 Dec 16 to 24 Jan 17","","","583.02","25-Dec-2016",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Melbourne","","","83.00","05-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Melbourne","","","44.81","09-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Melbourne","","","83.00","12-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Melbourne","","","46.40","16-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Melbourne","","","83.00","26-Feb-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Melbourne","","","46.40","03-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Melbourne","","","44.40","07-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Canberra","","","41.80","07-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Canberra","","","40.00","07-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Canberra","","","40.00","08-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Melbourne","","","47.01","08-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Melbourne","","","83.00","19-Mar-2017",""
"Tim Watts","Representative","Gellibrand","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Melbourne","","","46.40","23-Mar-2017",""
