"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","30 Jan 17","Melbourne","Australian Commission for Law Enforcement Integrity","2","382.00","764.00","29-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Darwin","Australian Commission for Law Enforcement Integrity","1","268.00","268.00","31-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Perth","Public Works","1","399.00","399.00","02-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Melbourne","Public Works","1","382.00","382.00","19-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Adelaide to Melbourne","","","154.98","29-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Cairns","","","328.05","31-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Cairns to Darwin","","","264.65","31-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Darwin to Sydney","","","483.89","01-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Adelaide","","","","01-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Adelaide to Perth","","","817.83","02-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Perth to Adelaide","","","304.63","03-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Adelaide to Canberra","","","491.54","05-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","327.81","10-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Adelaide","","","","10-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Canberra","","","491.54","12-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","327.88","17-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Adelaide","","","","17-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Adelaide to Melbourne","","","190.48","19-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Melbourne to Adelaide","","","190.48","20-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Adelaide to Canberra","","","510.48","26-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Adelaide","","","202.81","03-Mar-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Adelaide to Canberra","","","491.56","19-Mar-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Adelaide","","","78.60","29-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","29 Jan 17 - Melbourne","","","85.00","29-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Melbourne","","","42.20","31-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Darwin","","","40.00","31-Jan-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Adelaide","","","41.80","01-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Adelaide","","","55.02","02-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","2 Feb 17 - Perth","","","40.00","02-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Perth","","","40.00","03-Feb-2017",""
"Tony Zappia","Representative","Makin","South Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Feb 17 - Adelaide","","","43.72","03-Feb-2017",""
