"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Jan 17","9 Jan 17","Whyalla","Electorate Business","1","317.00","317.00","09-Jan-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Jan 17","10 Jan 17","Port Augusta","Electorate Business","1","286.00","286.00","10-Jan-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","11 Jan 17","11 Jan 17","Port Pirie","Electorate Business","1","304.00","304.00","11-Jan-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Brisbane","Foreign Affairs, Defence and Trade - Sen","1","411.00","411.00","01-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Sydney","Electorate Business","1","400.00","400.00","02-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Melbourne","National Disability Insurance Scheme","1","382.00","382.00","19-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Canberra","Foreign Affairs, Defence and Trade - Sen","1","276.00","276.00","06-Mar-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Adelaide to Brisbane","","","681.11","01-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Brisbane to Sydney","","","401.49","02-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Adelaide","","","492.27","03-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Adelaide to Canberra","","","821.01","05-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Adelaide","","","861.23","10-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Sydney","","","876.68","12-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","","12-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","637.91","17-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Adelaide","","","705.78","17-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Adelaide to Melbourne","","","310.50","19-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Melbourne to Adelaide","","","310.50","20-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Adelaide to Canberra","","","202.81","26-Feb-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","870.27","03-Mar-2017",""
"Alex Gallacher","Senator","","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Adelaide","","","","03-Mar-2017",""
