"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Swan Hill","Electorate Business","1","286.00","286.00","30-Jan-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","2 Feb 17","Canberra","Parliamentary Political Party Meeting","2","276.00","552.00","01-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Stawell","Electorate Business","1","268.00","268.00","23-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","2 Mar 17","Melbourne","Sittings of Parliament","1","382.00","382.00","02-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","8 Mar 17","Horsham","Electorate Business","2","286.00","572.00","07-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Mildura to Melbourne","","","449.36","01-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Melbourne to Canberra","","","","01-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","705.94","10-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Mildura","","","","10-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Mildura to Melbourne","","","705.94","12-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","422.03","17-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Mildura","","","465.77","17-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Mildura to Melbourne","","","733.71","26-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","","26-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","438.57","02-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Mildura","","","362.08","03-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Mar 17 - Mildura to Melbourne","","","362.08","16-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Mar 17 - Melbourne to Mildura","","","465.77","16-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Mildura to Melbourne","","","885.87","19-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","","19-Mar-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 22 Jan to 21 Feb 17","","","930.73","21-Feb-2017",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 31 Jan to 22 Feb 17","","","273.61","22-Feb-2017",""
