"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","30 Jan 17 - Melbourne to Townsville","362.73","","30-Jan-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","1 Feb 17 - Townsville to Brisbane","382.87","","01-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","1 Feb 17 - Brisbane to Melbourne","","","01-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","5 Feb 17 - Melbourne to Canberra","422.03","","05-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","9 Feb 17 - Canberra to Melbourne","422.03","","09-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","12 Feb 17 - Melbourne to Canberra","422.03","","12-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","16 Feb 17 - Canberra to Melbourne","422.03","","16-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","26 Feb 17 - Melbourne to Canberra","438.57","","26-Feb-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","2 Mar 17 - Canberra to Melbourne","438.57","","02-Mar-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","14 Mar 17 - Melbourne to Sydney","467.07","","14-Mar-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","14 Mar 17 - Sydney to Melbourne","467.07","","14-Mar-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","19 Mar 17 - Melbourne to Canberra","438.57","","19-Mar-2017"
"Andrew Giles","Member","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","23 Mar 17 - Canberra to Melbourne","438.57","","23-Mar-2017"
