"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","1,104.00","20-Nov-2016","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","11 Jan 17 - Brisbane to Sydney","","","154.55","11-Jan-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Jan 17 - Sydney to Brisbane","","","114.88","18-Jan-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Redland to Stradbroke Island","","","4.34","22-Jan-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Brisbane to Canberra","","","739.64","06-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Brisbane","","","739.64","10-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Brisbane to Canberra","","","529.64","13-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Brisbane","","","839.17","17-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","203.37","26-Feb-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Brisbane","","","739.64","02-Mar-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Brisbane to Sydney","","","768.67","13-Mar-2017","",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Melbourne","","","768.76","15-Mar-2017","",""
