"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Jan 17","2 Jan 17","Sydney","Deputy Prime Minister - Official Business","1","442.00","442.00","02-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","30 Jan 17","Sydney","Deputy Prime Minister - Official Business","2","442.00","884.00","29-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","2 Feb 17","Canberra","Deputy Prime Minister - Official Business","3","276.00","828.00","31-Jan-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Feb 17","3 Feb 17","Sydney","Deputy Prime Minister - Official Business","1","442.00","442.00","03-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","9 Feb 17","Sydney","Deputy Prime Minister - Official Business","1","442.00","442.00","09-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Feb 17","17 Feb 17","Mareeba","Deputy Prime Minister - Official Business","1","372.00","372.00","17-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Feb 17","18 Feb 17","Townsville","Deputy Prime Minister - Official Business","1","372.00","372.00","18-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","24 Feb 17","Sydney","Deputy Prime Minister - Official Business","2","442.00","884.00","23-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","2 Mar 17","Sydney","Sittings of Parliament","1","442.00","442.00","02-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Mar 17","3 Mar 17","Inverell","Electorate Business","1","372.00","372.00","03-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Mar 17","4 Mar 17","Glen Innes","Deputy Prime Minister - Official Business","1","372.00","372.00","04-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Mar 17","5 Mar 17","Armidale","Deputy Prime Minister - Official Business","1","372.00","372.00","05-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","8 Mar 17","Canberra","Deputy Prime Minister - Official Business","3","276.00","828.00","06-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Mar 17","9 Mar 17","Sydney","Deputy Prime Minister - Official Business","1","442.00","442.00","09-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Mar 17","12 Mar 17","Armidale","Electorate Business","1","372.00","372.00","12-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","15 Mar 17","Canberra","Deputy Prime Minister - Official Business","3","276.00","828.00","13-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Mar 17","16 Mar 17","Mildura","Deputy Prime Minister - Official Business","1","372.00","372.00","16-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","17 Mar 17","19 Mar 17","Canberra","Deputy Prime Minister - Official Business","3","276.00","828.00","17-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","20-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Mar 17","23 Mar 17","Canberra","Deputy Prime Minister - Official Business","1","276.00","276.00","23-Mar-2017","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","24 Nov 16","24 Nov 16","Sydney","Sittings of Parliament","1","442.00","442.00","24-Nov-2016","",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","3,178.78","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","860.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","22,995.72","01-Jan-1900","OS Ministerial - Fares",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,862.29","01-Jan-1900","OS Ministerial - Ground transport",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","252.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","936.95","01-Jan-1900","OS Ministerial - Passport costs",""
