"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Jan 17","16 Jan 17","Canberra","Shadow Minister - Official Business","1","276.00","276.00","16-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","29 Jan 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","29-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Adelaide","Shadow Minister - Official Business","1","362.00","362.00","30-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Feb 17","20 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","20-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","23-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","27-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","8 Mar 17","Canberra","Shadow Minister - Official Business","1","276.00","276.00","08-Mar-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","15 Mar 17","Hobart","Shadow Minister - Official Business","1","330.00","330.00","15-Mar-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Mar 17","16 Mar 17","Canberra","Shadow Minister - Official Business","1","276.00","276.00","16-Mar-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","18 Dec 16","20 Dec 16","Sydney","Shadow Minister - Official Business","3","400.00","1,200.00","18-Dec-2016",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Jan 17 - Melbourne to Canberra","","","689.24","16-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Jan 17 - Canberra to Melbourne","","","689.24","18-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Melbourne to Sydney","","","756.04","29-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Sydney to Adelaide","","","970.71","30-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Adelaide to Melbourne","","","782.40","31-Jan-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Melbourne to Sydney","","","756.04","03-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Melbourne","","","842.36","03-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","716.51","05-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","716.51","10-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","716.51","12-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","716.51","17-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Melbourne to Sydney","","","883.94","20-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Sydney to Melbourne","","","883.94","21-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Melbourne to Sydney","","","883.94","23-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Melbourne","","","768.76","24-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Melbourne to Canberra","","","637.91","27-Feb-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Melbourne to Canberra","","","751.97","08-Mar-2017",""
"Brendan O'Connor","Member","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Canberra to Melbourne","","","751.97","09-Mar-2017",""
