"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","23 Jan 17","Devonport","Parliamentary Political Party Meeting","2","299.00","598.00","22-Jan-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","22 Feb 17","Launceston","Electorate Business","2","286.00","572.00","21-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Mar 17","10 Mar 17","Perth","Electorate Business","1","268.00","268.00","10-Mar-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","24 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","20-Mar-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Hobart to Melbourne","","","749.77","05-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","","05-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","749.77","10-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Hobart","","","","10-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Hobart to Melbourne","","","749.77","12-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","121.30","17-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Hobart","","","745.75","17-Feb-2017",""
"Brian Mitchell","Member","Lyons","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Hobart to Melbourne","","","749.77","26-Feb-2017",""
