"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Feb 17","3 Feb 17","Perth","Shadow Minister - Official Business","1","399.00","399.00","03-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","13-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","27-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Sydney to Canberra","","","341.03","31-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Canberra to Sydney","","","341.03","31-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Perth","","","2,104.93","02-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Perth to Sydney","","","2,104.93","03-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Sydney to Melbourne","","","768.76","14-Mar-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Melbourne to Sydney","","","768.76","14-Mar-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Melbourne","","","883.94","15-Mar-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Sydney","","","768.76","15-Mar-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Sydney","","","161.04","23-Mar-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","15 Dec 16 - Sydney to Melbourne","","","756.04","15-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","15 Dec 16 - Melbourne to Canberra","","","637.91","15-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 11 Jan to 10 Feb 17","","","1,191.62","10-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 23 Jan to 21 Feb 17","","","399.40","21-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 31 Jan to 22 Feb 17","","","1.69","22-Feb-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 11 Feb to 10 Mar 17","","","1,191.62","10-Mar-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 24 Oct to 20 Nov 16","","","321.65","20-Nov-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 31 Oct to 22 Nov 16","","","2.04","22-Nov-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 11 Nov to 10 Dec 16","","","1,191.62","10-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 24 Nov to 14 Dec 16","","","292.00","14-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 30 Nov to 15 Dec 16","","","1.70","15-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 11 Dec 16 to 10 Jan 17","","","1,191.62","11-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel interest fee 22 Dec 16 to 15 Jan 17","","","2.38","22-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 22 Dec 16 to 15 Jan 17","","","453.00","22-Dec-2016",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Jan 17 - Sydney","","","68.12","17-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Jan 17 - Sydney","","","115.56","17-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Jan 17 - Sydney","","","101.23","19-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Jan 17 - Sydney","","","102.46","19-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Jan 17 - Sydney","","","114.33","20-Jan-2017",""
"Chris Bowen","Member","McMahon","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Jan 17 - Sydney","","","118.18","20-Jan-2017",""
