"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","22 Jan 17","Melbourne","Same Sex Marriage","1","382.00","382.00","22-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","23 Jan 17","Sydney","Same Sex Marriage","1","400.00","400.00","23-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Jan 17","24 Jan 17","Canberra","Same Sex Marriage","1","276.00","276.00","24-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","27 Feb 17","Canberra","Senate Estimates","2","276.00","552.00","26-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","28 Feb 17","28 Feb 17","Melbourne","Electorate Business","1","382.00","382.00","28-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Mar 17","2 Mar 17","Canberra","Senate Estimates","2","276.00","552.00","01-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Canberra","Treaties","1","276.00","276.00","14-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","16 Mar 17","Toowoomba","Rural and Regional Affairs and Transport","2","286.00","572.00","15-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Adelaide to Melbourne","","","781.72","22-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Melbourne to Sydney","","","815.75","23-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Sydney to Canberra","","","600.05","24-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Canberra to Melbourne","","","776.83","25-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Melbourne to Adelaide","","","","25-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Adelaide to Canberra","","","861.23","05-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","870.20","10-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Adelaide","","","","10-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Canberra","","","861.23","12-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","870.27","17-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Adelaide","","","","17-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Adelaide to Sydney","","","1,019.14","22-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Adelaide","","","1,019.14","22-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Adelaide to Canberra","","","903.52","26-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Feb 17 - Canberra to Melbourne","","","751.97","28-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Mar 17 - Melbourne to Canberra","","","751.97","01-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Adelaide","","","821.27","03-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Adelaide to Canberra","","","903.52","07-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Canberra to Sydney","","","876.75","07-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Sydney to Adelaide","","","","07-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Adelaide to Canberra","","","903.52","14-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Brisbane","","","884.56","15-Mar-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Adelaide to Canberra","","","861.23","12-Dec-2016",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Canberra to Adelaide","","","861.23","12-Dec-2016",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 8 Jan to 16 Jan 17","","","153.15","16-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 27 Jan to 26 Feb 17","","","1,037.83","26-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 4 Dec to 22 Dec 16","","","198.05","22-Dec-2016",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 24 Dec to 31 Dec 16","","","52.27","31-Dec-2016",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 27 Dec 16 to 26 Jan 17","","","1,037.83","27-Dec-2016",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Jan 17 - Adelaide","","","78.60","22-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Jan 17 - Melbourne","","","82.80","22-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Melbourne","","","48.94","23-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Sydney","","","50.00","23-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Jan 17 - Sydney","","","40.00","24-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","24 Jan 17 - Canberra","","","41.80","24-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Canberra","","","40.61","25-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Canberra","","","41.92","25-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","25 Jan 17 - Adelaide","","","59.44","25-Jan-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Adelaide","","","78.60","05-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Adelaide","","","67.30","10-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Adelaide","","","78.60","12-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","15 Feb 17 - Canberra","","","78.60","15-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Adelaide","","","72.54","17-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Adelaide","","","100.87","22-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","68.95","22-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Sydney","","","72.05","22-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Adelaide","","","72.54","22-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Adelaide","","","78.60","26-Feb-2017",""
"David Fawcett","Senator","","South Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Feb 17 - Melbourne","","","68.05","28-Feb-2017",""
