"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Jan 17","5 Jan 17","Sydney","Electorate Business","1","400.00","400.00","05-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","23 Jan 17","Sydney","Same Sex Marriage","1","400.00","400.00","23-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","11","276.00","3,036.00","06-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Jan 17 - Perth to Sydney","","","2,071.52","05-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Jan 17 - Sydney to Perth","","","2,071.52","08-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Jan 17 - Perth to Melbourne","","","1,021.56","10-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","11 Jan 17 - Melbourne to Perth","","","1,947.30","11-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Perth to Sydney","","","704.88","23-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Sydney to Canberra","","","118.33","25-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Canberra to Sydney","","","1,682.32","25-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Sydney to Perth","","","","25-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Perth to Sydney","","","704.88","04-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","269.37","06-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Feb 17 - Sydney to Perth","","","1,949.87","18-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Perth to Melbourne","","","1,675.84","26-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","","26-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Perth","","","1,769.77","03-Mar-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Perth to Melbourne","","","1,023.57","14-Mar-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Canberra","","","485.82","15-Mar-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Additional maintenance 5 Jan 17","","","355.68","05-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 11 Jan to 10 Feb 17","","","1,108.93","10-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 24 Jan 17","","","18.18","24-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 29 Jan to 18 Feb 17","","","177.85","18-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 11 Feb to 10 Mar 17","","","1,108.93","10-Mar-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 18 Feb 17","","","18.18","18-Feb-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 11 Dec 16 to 10 Jan 17","","","1,108.93","11-Dec-2016",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 17 Dec to 18 Dec 16","","","89.67","18-Dec-2016",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Car cleaning 18 Dec 16","","","18.18","18-Dec-2016",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 27 Dec 16 to 9 Jan 17","","","149.94","27-Dec-2016",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","5 Jan 17 - Perth","","","40.00","05-Jan-2017",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","5 Jan 17 - Sydney","","","85.98","05-Jan-2017",""
