"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Feb 17","10 Feb 17","Newcastle","Deputy Leader of the Opposition in the Senate - Official","1","372.00","372.00","10-Feb-2017",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","","Business","","","","01-Jan-1900",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","11 Feb 17","11 Feb 17","Sydney","Deputy Leader of the Opposition in the Senate - Official","1","442.00","442.00","11-Feb-2017",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","","Business","","","","01-Jan-1900",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","23 Feb 17","Sydney","Deputy Leader of the Opposition in the Senate - Official","2","442.00","884.00","22-Feb-2017",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","","Business","","","","01-Jan-1900",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","2 Mar 17","Melbourne","Deputy Leader of the Opposition in the Senate - Official","1","442.00","442.00","02-Mar-2017",""
"Don Farrell","Senator","","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","","Business","","","","01-Jan-1900",""
