"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","2","276.00","552.00","08-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","13-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Senate Estimates","4","276.00","1,104.00","26-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","20-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","8 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","2","276.00","552.00","08-Nov-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Hobart to Melbourne","","","779.78","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Melbourne to Adelaide","","","","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Adelaide to Melbourne","","","310.43","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Melbourne to Hobart","","","449.63","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Hobart to Melbourne","","","449.63","04-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Melbourne to Hobart","","","474.88","04-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Feb 17 - Hobart to Sydney","","","787.18","08-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Feb 17 - Sydney to Canberra","","","","08-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","836.20","10-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Hobart","","","","10-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Hobart to Melbourne","","","749.77","13-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Melbourne to Canberra","","","","13-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","836.20","16-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Melbourne to Hobart","","","","16-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Hobart to Melbourne","","","749.77","26-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","","26-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","877.11","02-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Melbourne to Hobart","","","","02-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Hobart to Melbourne","","","749.77","20-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Melbourne to Canberra","","","","20-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Melbourne","","","877.11","23-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Melbourne to Hobart","","","","23-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 10 Jan to 9 Feb 17","","","1,096.88","09-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 12 Jan to 23 Jan 17","","","306.24","23-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 31 Jan 17","","","153.24","31-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Feb to 21 Feb 17","","","360.17","21-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 10 Feb to 9 Mar 17","","","1,096.88","09-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Dec to 26 Dec 16","","","394.90","26-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 10 Dec 16 to 9 Jan 17","","","1,096.88","10-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 12 Dec 16","","","89.36","12-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 31 Dec 16","","","104.16","31-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Jan 17 - Hobart","","","78.60","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Jan 17 - Adelaide","","","80.40","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Jan 17 - Adelaide","","","78.60","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Jan 17 - Hobart","","","80.60","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","28 Jan 17 - Hobart","","","78.60","28-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Hobart","","","78.60","04-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Melbourne","","","165.80","04-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Melbourne","","","144.65","04-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","4 Feb 17 - Hobart","","","80.60","04-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","8 Feb 17 - Hobart","","","53.71","08-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Hobart","","","58.95","10-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Hobart","","","78.60","13-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Hobart","","","65.50","16-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Hobart","","","78.60","26-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Mar 17 - Hobart","","","40.00","20-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Hobart","","","42.00","23-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","27 Mar 17 - Hobart","","","47.16","27-Mar-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","29,846.11","01-Jan-1900",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","3,464.82","01-Jan-1900",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","147.59","31-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Portable and attractive items 1 Jan to 31 Jan 17","","","1,978.20","31-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","392.24","27-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","25.26","27-Feb-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Software reimbursement 2016/17","","","2,227.27","01-Jan-1900",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","7.58","27-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","45.17","27-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Dec to 31 Dec 16","","","163.29","31-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","3.63","28-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","45.55","28-Dec-2016",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Jan to 31 Jan 17","","","-11.36","31-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","454.55","31-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 24 Jan 17","","","56.00","24-Jan-2017",""
"Eric Abetz","Senator","","Tasmania","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 1 Feb 17","","","56.00","01-Feb-2017",""
