"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","2 Feb 17","Norfolk Island","External Territory Visit","4","483.00","1,932.00","30-Jan-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Darwin","Shadow Parliamentary Secretary - Official Business","1","268.00","268.00","14-Mar-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Canberra to Sydney","","","340.26","30-Jan-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Sydney to Norfolk Island","","","1,296.94","30-Jan-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Norfolk Island to Sydney","","","","03-Feb-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Sydney to Canberra","","","340.26","03-Feb-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","341.03","17-Feb-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Canberra","","","341.03","17-Feb-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Canberra to Brisbane","","","678.12","20-Feb-2017",""
"Gai Brodtmann","Member","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Brisbane to Townsville","","","","20-Feb-2017",""
