"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","22 Jan 17","Adelaide","Human Rights","1","362.00","362.00","22-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","29 Jan 17","Hobart","Human Rights","1","330.00","330.00","29-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Melbourne","Human Rights","1","382.00","382.00","30-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Sydney","Human Rights","1","400.00","400.00","31-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Adelaide","Human Rights","1","362.00","362.00","01-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","9 Feb 17","Brisbane","Human Rights","1","411.00","411.00","09-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","10 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","7","276.00","1,932.00","10-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","20 Feb 17","Darwin","Human Rights","2","441.00","882.00","19-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Perth to Adelaide","","","742.97","22-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Adelaide to Perth","","","907.33","23-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Perth to Melbourne","","","1,781.99","29-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Melbourne to Hobart","","","","29-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Hobart to Melbourne","","","720.40","30-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Sydney","","","842.36","31-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Adelaide","","","970.71","01-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Adelaide to Perth","","","905.32","02-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Perth to Melbourne","","","1,675.84","05-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","","05-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Brisbane","","","799.62","09-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Brisbane to Canberra","","","799.62","10-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Perth","","","1,685.91","17-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Perth to Darwin","","","1,539.47","19-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Darwin to Perth","","","858.72","21-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Perth to Melbourne","","","1,675.84","26-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","","26-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","1,675.84","03-Mar-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Perth","","","","03-Mar-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","4 Dec 16 - Canberra to Melbourne","","","1,673.97","04-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","4 Dec 16 - Melbourne to Perth","","","","04-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","7 Dec 16 - Perth to Sydney","","","1,910.86","07-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Sydney to Perth","","","2,070.21","08-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","11 Dec 16 - Perth to Melbourne","","","1,673.97","11-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Melbourne to Canberra","","","","12-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Canberra to Melbourne","","","1,673.97","13-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","13 Dec 16 - Melbourne to Perth","","","","13-Dec-2016",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 5 Jan 17","","","16.36","05-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Car cleaning 11 Jan 17","","","16.44","11-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 12 Jan to 11 Feb 17","","","876.94","11-Feb-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 17 Jan 17","","","95.46","17-Jan-2017",""
"Ian Goodenough","Member","Moore","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 24 Jan 17","","","97.27","24-Jan-2017",""
