"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00*","12-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","*","","","","","","","01-Jan-1900",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","Member initiated adjustment to be reflected in a subsequent reporting period.","","","","","","01-Jan-1900",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","716.51","05-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Melbourne","","","716.51","09-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","637.91","12-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Feb 17 - Canberra to Melbourne","","","637.91","13-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Feb 17 - Melbourne to Canberra","","","637.91","14-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","716.51","17-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","637.91","26-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","751.97","02-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","245.30","19-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Melbourne","","","637.91","23-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Jan to 4 Feb 17","","","765.96","04-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 23 Jan to 31 Jan 17","","","61.52","31-Jan-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 5 Feb to 4 Mar 17","","","765.96","04-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 5 Dec 16 to 4 Jan 17","","","765.96","05-Dec-2016",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 10 Dec to 25 Dec 16","","","108.25","25-Dec-2016",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Additional maintenance 13 Dec 16","","","899.75","13-Dec-2016",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Accident Excess 13 Dec 16","","","1,000.00","13-Dec-2016",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Melbourne","","","78.60","05-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","5 Feb 17 - Canberra","","","80.40","05-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Melbourne","","","51.78","09-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Melbourne","","","78.60","12-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Canberra","","","40.00","13-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Melbourne","","","53.09","13-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","14 Feb 17 - Melbourne","","","61.57","14-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Canberra","","","40.00","17-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Melbourne","","","62.26","17-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Melbourne","","","78.60","26-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","2 Mar 17 - Melbourne","","","59.64","02-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","19 Mar 17 - Melbourne","","","120.52","19-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Melbourne","","","57.02","23-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Mar 17 - Melbourne","","","78.60","26-Mar-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","32,055.62","01-Jan-1900",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","1,898.71","01-Jan-1900",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","14.64","27-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","182.45","27-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","130.78","28-Feb-2017",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","1.81","27-Dec-2016",""
"Joanne Ryan","Member","Lalor","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","199.65","27-Dec-2016",""
