"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","14 Feb 17 - Sydney to Canberra","628.69","","14-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","15 Feb 17 - Canberra to Sydney","628.69","","15-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","16 Feb 17 - Sydney to Perth","2,104.93","","16-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","17 Feb 17 - Perth to Sydney","2,104.93","","17-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","1 Mar 17 - Canberra to Sydney","659.37","","01-Mar-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","28 Mar 15 - Sydney to Adelaide","-774.42","","28-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","29 Mar 15 - Adelaide to Melbourne","-662.67","","29-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","30 Mar 15 - Melbourne to Sydney","-577.85","","30-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","14 Nov 15 - Sydney to Maroochydore","-489.09","","14-Nov-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","15 Nov 15 - Maroochydore to Sydney","","","15-Nov-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","15 Jul 16 - Sydney to Wagga Wagga","-314.06","","15-Jul-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","16 Jul 16 - Wagga Wagga to Sydney","-466.04","","16-Jul-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","16 Nov 16 - Canberra to Sydney","599.25","","16-Nov-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","Lease 15 Jan to 14 Feb 17","951.90","","14-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","Fuel 23 Jan to 22 Feb 17","470.84","","22-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","Fuel interest fee 31 Jan to 22 Feb 17","1.36","","22-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","Lease 15 Feb to 14 Mar 17","951.90","","14-Mar-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel 7 Oct to 21 Nov 16","401.28","","21-Nov-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Admin charge 31 Oct to 22 Nov 16","1.35","","22-Nov-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Lease 15 Nov to 14 Dec 16","951.90","","14-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel 24 Nov to 23 Dec 16","561.09","","23-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Admin charge 30 Nov to 15 Dec 16","2.04","","15-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Lease 15 Dec 16 to 14 Jan 17","951.90","","15-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel 19 Dec 16 to 28 Jan 17","528.06","","19-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","Fuel interest fee 22 Dec 16 to 22 Jan 17","1.01","","22-Dec-2016"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","14 Feb 17 - Canberra","41.80","","14-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","14 Feb 17 - Canberra","78.60","","14-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","14 Feb 17 - Canberra","40.00","","14-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","15 Feb 17 - Canberra","40.00","","15-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","16 Feb 17 - Perth","40.00","","16-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","17 Feb 17 - Perth","396.93","","17-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","1 Mar 17 - Canberra","40.00","","01-Mar-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","1 Mar 17 - Canberra","40.00","","01-Mar-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","28 Mar 15 - Adelaide","-80.40","","28-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","28 Mar 15 - Adelaide","-78.60","","28-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","28 Mar 15 - Adelaide","-78.60","","28-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","29 Mar 15 - Adelaide","-78.60","","29-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","29 Mar 15 - Melbourne","-115.25","","29-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","29 Mar 15 - Melbourne","-78.60","","29-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Car Costs","COMCAR","Before 1 January 2017","30 Mar 15 - Melbourne","-45.13","","30-Mar-2015"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","Aggregated Total","58,432.15","","01-Jan-1900"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","Aggregated Total","981.30","","01-Jan-1900"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","Office requisites and stationery 1 Jan to 31 Jan 17","111.90","","31-Jan-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","MFD Colour copy charge 28 Jan to 27 Feb 17","52.73","","27-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","MFD Monochrome copy charge 28 Jan to 27 Feb 17","11.11","","27-Feb-2017"
"John Howard","Former Prime Minister","","","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","Office requisites and stationery 1 Nov to 30 Nov 16","91.99","","30-Nov-2016"
