"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","19 Feb 17","Adelaide","Resilience of Electricity Infrastructure in a Warming","1","362.00","362.00","19-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","","World","","","","01-Jan-1900",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Mar 17","5 Mar 17","Sydney","Community Affairs","1","400.00","400.00","05-Mar-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","9 Mar 17","Canberra","Community Affairs","2","276.00","552.00","08-Mar-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","16 Mar 17","Canberra","Community Affairs","2","276.00","552.00","15-Mar-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Hobart to Melbourne","","","400.78","01-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Melbourne to Hobart","","","400.78","01-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Hobart to Melbourne","","","327.20","05-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","","05-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","400.15","10-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Launceston","","","","10-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Launceston to Hobart","","","162.19","10-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Hobart to Melbourne","","","327.20","12-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","877.11","16-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Melbourne to Hobart","","","","16-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Hobart to Melbourne","","","416.98","19-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Melbourne to Adelaide","","","","19-Feb-2017",""
"Jonathon Duniam","Senator","","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Adelaide to Melbourne","","","824.01","20-Feb-2017",""
