"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","19 Nov 16","2 Dec 16","Canberra","Sittings of Parliament","14","276.00","3,864.00","19-Nov-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 5 Feb 17","","","184.80","05-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 9 Feb 17","","","184.80","09-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Sydney to Canberra 12 Feb 17","","","184.80","12-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2017","","","","Canberra to Sydney 17 Feb 17","","","184.80","17-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2017","","","","Canberra to Sydney 2 Dec 16","","","184.80","02-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","40,889.60","01-Jan-1900"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","2,824.66","01-Jan-1900"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","128.08","27-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","8.97","27-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Feb to 28 Feb 17","","","1,925.71","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Freight costs 8 Feb 17","","","300.00","08-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","202.92","27-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","7.40","27-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Dec to 31 Dec 16","","","96.65","31-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","14.49","28-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","3.59","28-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1 Printed item 1 Jan 17","","","500.00","01-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Jan to 31 Jan 17","","","-11.36","31-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","5,714.58","31-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","e-material 12 Jan to 12 Feb 17","","","41.82","12-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","27,000 Printed items 24 Jan 17","","","1,702.73","24-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 24 Jan 17","","","30.00","24-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 24 Jan 17","","","600.00","24-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","9,000 Printed items 30 Jan 17","","","754.55","30-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 30 Jan 17","","","250.00","30-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","9,000 Personalised letterhead stationery 30 Jan 17","","","1,881.81","30-Jan-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Feb to 28 Feb 17","","","-11.36","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Feb to 28 Feb 17","","","4,833.96","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","e-material 12 Feb to 12 Mar 17","","","41.16","12-Mar-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 28 Feb 17","","","200.00","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","1,000 Printed items 28 Feb 17","","","559.09","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","12,000 Personalised letterhead stationery 28 Feb 17","","","579.09","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Printing 28 Feb 17","","","150.00","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","12,000 Printed items 28 Feb 17","","","1,954.55","28-Feb-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","PO Box 395 rental 1 Apr 17 to 31 Mar 18","","","443.64","01-Apr-2017"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 18 May to 27 May 16","","","29.37","27-May-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 15 Sep 16","","","100.00","15-Sep-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1,000 Personalised letterhead stationery 15 Sep 16","","","110.00","15-Sep-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 16 Oct to 23 Oct 16","","","27.83","23-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","35,000 Printed items 17 Oct 16","","","2,026.36","17-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 17 Oct 16","","","3,846.98","17-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 17 Oct 16","","","250.00","17-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 28 Oct 16","","","250.00","28-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 28 Oct 16","","","620.95","28-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","6,500 Printed items 28 Oct 16","","","554.55","28-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","6,500 Printed items 28 Oct 16","","","392.72","28-Oct-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 30 Oct to 25 Nov 16","","","28.60","25-Nov-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 23 Nov 16","","","42.79","23-Nov-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 1 Dec to 31 Dec 16","","","-11.36","31-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","2,632.45","31-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1 Printed item 1 Dec 16","","","350.00","01-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Printing 9 Dec 16","","","250.00","09-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","2,000 Printed items 9 Dec 16","","","513.64","09-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","2,000 Personalised letterhead stationery 9 Dec 16","","","206.36","09-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1 Printed item 16 Dec 16","","","250.00","16-Dec-2016"
"Julie Owens","Member","Parramatta","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1 Printed item 20 Dec 16","","","200.00","20-Dec-2016"
