"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Shadow Minister - Official Business","1","400.00","400.00","23-Feb-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","15 Mar 17","Melbourne","Shadow Minister - Official Business","1","382.00","382.00","15-Mar-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Canberra to Sydney","","","341.03","30-Jan-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Sydney to Canberra","","","341.03","30-Jan-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","118.33","17-Feb-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Canberra","","","118.33","17-Feb-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Canberra to Sydney","","","118.33","23-Feb-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Canberra","","","118.33","24-Feb-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Canberra to Adelaide","","","194.06","09-Mar-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Adelaide to Canberra","","","202.81","09-Mar-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Melbourne","","","438.57","15-Mar-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Mar 17 - Melbourne to Canberra","","","438.57","16-Mar-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 4 Jan to 28 Jan 17","","","160.34","28-Jan-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 7 Jan to 6 Feb 17","","","957.83","06-Feb-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 26 Mar 17","","","74.35","26-Mar-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 10 Oct 16","","","-3,338.74","10-Oct-2016",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 7 Dec 16 to 6 Jan 17","","","957.83","07-Dec-2016",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 8 Dec to 26 Dec 16","","","189.59","26-Dec-2016",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Sydney","","","50.00","30-Jan-2017",""
"Katy Gallagher","Senator","","Australian Capital Territory","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","30 Jan 17 - Sydney","","","40.00","30-Jan-2017",""
