"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Canberra","Minister - Official Business","1","276.00","276.00","31-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Sydney","Minister - Official Business","1","442.00","442.00","01-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Melbourne to Canberra","","","689.24","17-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Jan 17 - Canberra to Melbourne","","","637.91","17-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Jan 17 - Melbourne to Sydney","","","756.04","20-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Jan 17 - Sydney to Melbourne","","","756.04","20-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Melbourne to Adelaide","","","411.14","25-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Adelaide to Melbourne","","","411.14","25-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Canberra","","","637.91","31-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Canberra to Sydney","","","389.54","01-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Melbourne","","","756.04","02-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","637.91","06-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","121.30","10-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Melbourne","","","842.36","10-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","245.30","12-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","637.91","16-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Melbourne to Sydney","","","768.76","21-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Sydney to Melbourne","","","768.76","21-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","149.76","26-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Melbourne to Sydney","","","768.76","10-Mar-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Sydney to Melbourne","","","768.76","10-Mar-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Melbourne to Sydney","","","756.04","06-Dec-2016",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Sydney to Melbourne","","","756.04","06-Dec-2016",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Melbourne to Canberra","","","485.82","12-Dec-2016",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 7 Jan to 6 Feb 17","","","932.34","06-Feb-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 10 Jan 17","","","68.67","10-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 23 Jan 17","","","71.78","23-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 7 Feb to 6 Mar 17","","","932.34","06-Mar-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 7 Dec to 22 Dec 16","","","183.45","22-Dec-2016",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 7 Dec 16 to 6 Jan 17","","","932.34","07-Dec-2016",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 25 Dec 16 to 7 Jan 17","","","201.43","25-Dec-2016",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Jan 17 - Melbourne","","","69.01","17-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Jan 17 - Canberra","","","41.80","17-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Jan 17 - Canberra","","","40.00","17-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","17 Jan 17 - Melbourne","","","60.08","17-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Jan 17 - Melbourne","","","71.18","20-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Jan 17 - Sydney","","","50.00","20-Jan-2017",""
"Kelly O'Dwyer","Member","Higgins","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2017","","","","20 Jan 17 - Sydney","","","166.37","20-Jan-2017",""
