"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","22 Jan 17","Melbourne","Same Sex Marriage","1","268.00","268.00","22-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","24 Jan 17","Sydney","Same Sex Marriage","2","400.00","800.00","23-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Collie","Education and Employment - Sen","1","268.00","268.00","02-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","04-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Feb 17","24 Feb 17","Broome","Electorate Business","1","414.00","414.00","24-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","3 Mar 17","Canberra","Senate Estimates","6","276.00","1,656.00","26-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","7 Mar 17","Canberra","Community Affairs","1","276.00","276.00","07-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Perth to Melbourne","","","1,817.95","22-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Melbourne to Sydney","","","842.36","23-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Sydney to Canberra","","","341.03","25-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Canberra to Perth","","","1,685.91","25-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Perth to Sydney","","","844.56","04-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Sydney to Canberra","","","","04-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Perth to Sydney","","","844.56","04-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Sydney to Canberra","","","","04-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Feb 17 - Canberra to Perth","","","827.90","07-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","1,513.55","10-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Perth","","","","10-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Perth to Melbourne","","","1,675.84","12-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Sydney","","","1,682.32","17-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Sydney to Perth","","","","17-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Perth to Broome","","","748.62","24-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Feb 17 - Broome to Perth","","","748.62","25-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Perth to Canberra","","","1,769.77","26-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Sydney","","","1,682.32","03-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Sydney to Perth","","","","03-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Perth to Canberra","","","1,769.77","07-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Canberra to Perth","","","860.40","08-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Mar 17 - Perth to Brisbane","","","2,224.05","12-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Brisbane to Canberra","","","497.34","14-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Perth","","","1,769.77","15-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Perth to Canberra","","","1,769.77","19-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","7 Dec 16 - Canberra to Melbourne","","","1,673.97","07-Dec-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","7 Dec 16 - Melbourne to Perth","","","","07-Dec-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 11 Jan to 10 Feb 17","","","909.84","10-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 11 Jan 17","","","79.70","11-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 26 Jan to 23 Feb 17","","","214.98","23-Feb-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 11 Feb to 10 Mar 17","","","909.84","10-Mar-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 2 Dec 16","","","67.94","02-Dec-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 11 Dec 16 to 10 Jan 17","","","909.84","11-Dec-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Jan 17 - Perth","","","78.60","22-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Jan 17 - Melbourne","","","82.80","22-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Melbourne","","","48.94","23-Jan-2017",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Jan 17 - Sydney","","","43.80","23-Jan-2017",""
