"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","Terrigal to Canberra 6 Feb 17","240.24","06-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","Canberra to Sydney 10 Feb 17","190.74","10-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","Terrigal to Canberra 12 Feb 17","240.24","12-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","Canberra to Terrigal 16 Feb 17","240.24","16-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","Terrigal to Canberra 26 Feb 17","169.24","26-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2017","Canberra to Terrigal 2 Mar 17","123.24","02-Mar-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2017","Aggregated Total","29,584.76","01-Jan-1900"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2017","Aggregated Total","3,046.13","01-Jan-1900"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","Flags 1 Jan to 31 Jan 17","660.52","31-Jan-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","MFD Colour copy charge 24 Jan to 23 Feb 17","332.64","23-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","MFD Monochrome copy charge 24 Jan to 23 Feb 17","28.27","23-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","Office requisites and stationery 1 Feb to 28 Feb 17","101.75","28-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","Flags 1 Feb to 28 Feb 17","566.16","28-Feb-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Colour copy charge 24 Nov to 23 Dec 16","341.33","23-Dec-2016"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Monochrome copy charge 24 Nov to 23 Dec 16","95.75","23-Dec-2016"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","Office requisites and stationery 1 Dec to 31 Dec 16","61.05","31-Dec-2016"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Colour copy charge 24 Dec 16 to 23 Jan 17","25.96","24-Dec-2016"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","MFD Monochrome copy charge 24 Dec 16 to 23 Jan 17","40.60","24-Dec-2016"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","e-material 1 Jan 17","529.19","01-Jan-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","e-material 1 Jan 17","4.26","01-Jan-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","Distribution credit 1 Jan to 31 Jan 17","-136.36","31-Jan-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","Distribution late payment fee Jan 17","15.00","01-Jan-1900"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","Distribution 1 Jan to 31 Jan 17","5,812.42","31-Jan-2017"
"Lucy Wicks","Representative","Robertson","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2017","1 Printed item 20 Jan 17","498.50","20-Jan-2017"
