"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Jan 17","23 Jan 17","Devonport","Parliamentary Political Party Meeting","2","299.00","598.00","22-Jan-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","20 Feb 17","Griffith","Agriculture, Resources, Fisheries and Forestry","2","286.00","572.00","19-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 6 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","224.73","01-Jan-1900","OS Delegation - Accommodation and meals",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-1900","OS Delegation - Equipment allowance",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","2,227.34","01-Jan-1900","OS Delegation - Fares",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","200.00","01-Jan-1900","OS Delegation - Travel advance",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Sydney to Melbourne","","","1,175.24","22-Jan-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Jan 17 - Melbourne to Devonport","","","","22-Jan-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Devonport to Melbourne","","","1,175.24","24-Jan-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Jan 17 - Melbourne to Sydney","","","","24-Jan-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Newcastle to Canberra","","","812.36","05-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Newcastle","","","","09-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Orange to Sydney","","","405.73","12-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","341.03","12-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Newcastle to Canberra","","","30.54","12-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Newcastle","","","369.25","16-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Newcastle to Sydney","","","808.60","19-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Sydney to Griffith","","","","19-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Griffith to Sydney","","","445.00","21-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Newcastle to Canberra","","","812.36","26-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Newcastle","","","","02-Mar-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Sydney to Canberra","","","354.03","19-Mar-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Newcastle to Canberra","","","30.54","19-Mar-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Newcastle","","","378.51","23-Mar-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 9 Jan to 8 Feb 17","","","1,851.66","08-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 24 Jan to 22 Feb 17","","","603.55","22-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 31 Jan to 15 Feb 17","","","1.02","15-Feb-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 9 Feb to 8 Mar 17","","","1,851.66","08-Mar-2017","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 3 Nov to 25 Nov 16","","","306.44","25-Nov-2016","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Accident excess 6 Nov 16","","","500.00","06-Nov-2016","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Loan car costs 6 Nov 16","","","197.76","06-Nov-2016","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 9 Nov to 8 Dec 16","","","1,851.66","08-Dec-2016","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 2 Dec to 14 Dec 16","","","226.57","14-Dec-2016","",""
"Meryl Swanson","Member","Paterson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 9 Dec 16 to 8 Jan 17","","","1,851.66","09-Dec-2016","",""
