"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","2 Feb 17","Canberra","Parliamentary Political Party Meeting","2","276.00","552.00","01-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","13 Mar 17","Mackay","Electorate Business","1","315.00","315.00","13-Mar-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Finch Hatton","Electorate Business","1","268.00","268.00","14-Mar-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Rockhampton to Brisbane","","","535.60","01-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Brisbane to Canberra","","","","01-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Canberra to Brisbane","","","1,109.07","03-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Brisbane to Rockhampton","","","","03-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Rockhampton to Brisbane","","","1,109.07","05-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","","05-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Brisbane","","","916.26","10-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Brisbane to Rockhampton","","","","10-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Rockhampton to Brisbane","","","1,109.07","12-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Brisbane to Canberra","","","","12-Feb-2017",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Brisbane","","","916.26","17-Feb-2017",""
