"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","27-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Adelaide to Canberra","","","772.01","05-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Adelaide","","","861.23","09-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Canberra","","","772.01","12-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Adelaide","","","861.23","16-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Adelaide to Canberra","","","903.52","27-Feb-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Adelaide","","","903.52","02-Mar-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Adelaide to Melbourne","","","821.27","15-Mar-2017",""
"Nick Champion","Member","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Adelaide","","","821.27","15-Mar-2017",""
