"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","28 Jan 17","28 Jan 17","Sydney","Parliamentary Political Party Meeting","1","400.00","400.00","28-Jan-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Sydney","Human Rights","1","400.00","400.00","31-Jan-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Feb 17","16 Feb 17","Canberra","Human Rights","1","276.00","276.00","16-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Mar 17","24 Mar 17","Melbourne","Legal and Constitutional Affairs","1","382.00","382.00","24-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Hobart to Sydney","","","251.94","28-Jan-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Sydney to Hobart","","","251.94","29-Jan-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Hobart to Melbourne","","","230.25","31-Jan-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Melbourne to Sydney","","","154.16","31-Jan-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Hobart","","","445.64","01-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Hobart to Melbourne","","","327.20","06-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","","06-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","456.86","10-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Hobart","","","","10-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Hobart to Melbourne","","","327.20","12-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","","12-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","327.20","17-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Hobart","","","","17-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Hobart to Melbourne","","","327.20","26-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","","26-Feb-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Mar 17 - Canberra to Melbourne","","","266.92","01-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Mar 17 - Melbourne to Hobart","","","","01-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Mar 17 - Hobart to Melbourne","","","230.25","05-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Sydney","","","467.07","07-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Sydney to Melbourne","","","380.66","07-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Hobart","","","","07-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","13 Mar 17 - Hobart to Brisbane","","","277.50","13-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Brisbane to Canberra","","","497.34","14-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Canberra to Melbourne","","","327.20","15-Mar-2017",""
"Nick McKim","Senator","","Tasmania","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Hobart","","","","15-Mar-2017",""
