"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Shepparton","Economics - Sen","1","286.00","286.00","01-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","04-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Brisbane","Corporations and Financial Services","1","411.00","411.00","22-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Adelaide to Brisbane","","","234.78","30-Jan-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Brisbane to Adelaide","","","234.78","30-Jan-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Adelaide to Canberra","","","193.99","31-Jan-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Canberra to Melbourne","","","149.76","01-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Melbourne to Adelaide","","","154.98","02-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Adelaide to Melbourne","","","308.64","04-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Melbourne to Canberra","","","","04-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Adelaide","","","297.90","10-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Sydney","","","244.98","12-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","","12-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","149.76","17-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Adelaide","","","219.24","17-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Adelaide to Brisbane","","","284.60","22-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Brisbane to Adelaide","","","652.14","23-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Adelaide to Sydney","","","327.88","26-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Sydney to Canberra","","","","26-Feb-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Adelaide","","","194.06","03-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Mar 17 - Adelaide to Melbourne","","","155.05","06-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Sydney","","","154.28","07-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Sydney to Perth","","","338.48","08-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Mar 17 - Perth to Adelaide","","","304.70","09-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Brisbane to Sydney","","","282.30","15-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Canberra","","","","15-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Mar 17 - Canberra to Melbourne","","","159.19","17-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Mar 17 - Melbourne to Adelaide","","","190.48","17-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Adelaide to Sydney","","","310.50","19-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Sydney to Canberra","","","","19-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Mar 17 - Canberra to Adelaide","","","194.06","24-Mar-2017",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","25 Nov 16 - Adelaide to Melbourne","","","45.46","25-Nov-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","4 Dec 16 - Sydney to Adelaide","","","318.19","04-Dec-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Adelaide to Canberra","","","202.81","06-Dec-2016",""
