"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Adelaide to Canberra","","","772.01","05-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Adelaide","","","772.01","09-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Adelaide to Canberra","","","772.01","12-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Adelaide","","","772.01","16-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Adelaide to Canberra","","","772.01","26-Feb-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Mar 17 - Sydney to Canberra","","","121.30","18-Mar-2017",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","27 Nov 16 - Adelaide to Melbourne","","","80.00","27-Nov-2016",""
"Nicolle Flint","Member","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","27 Nov 16 - Melbourne to Canberra","","","","27-Nov-2016",""
