"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","11","276.00","3,036.00","06-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Launceston to Melbourne","","","943.32","06-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","","06-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Melbourne","","","943.32","17-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Melbourne to Launceston","","","","17-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Launceston to Melbourne","","","400.15","26-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","","26-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Melbourne","","","943.32","03-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Melbourne to Launceston","","","","03-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Launceston to Melbourne","","","664.44","19-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Melbourne to Canberra","","","","19-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Melbourne","","","421.79","02-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Melbourne to Launceston","","","","02-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","19 Dec 16 - Launceston to Flinders Island","","","378.33","19-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","20 Dec 16 - Flinders Island to Launceston","","","","20-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 17 Jan to 16 Feb 17","","","1,255.49","16-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 17 Jan to 29 Jan 17","","","137.88","29-Jan-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 17 Jan 17","","","24.19","17-Jan-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 20 Jan to 19 Feb 17","","","859.84","19-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 22 Jan 17","","","0.34","22-Jan-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 24 Jan 17","","","74.99","24-Jan-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 31 Jan 17","","","0.34","31-Jan-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 17 Feb to 16 Mar 17","","","1,255.49","16-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 17 Feb 17","","","70.42","17-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Accident excess 28 Feb 17","","","454.55","28-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 6 Dec to 15 Dec 16","","","145.89","15-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 20 Dec 16 to 19 Jan 17","","","859.84","20-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Hobart","","","75.00","06-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Canberra","","","40.50","09-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","10 Feb 17 - Canberra","","","40.00","10-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Hobart","","","75.00","17-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Canberra","","","40.00","24-Mar-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","COMCAR","Before 1 January 2017","","","","2 Dec 16 - Hobart","","","75.00","02-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Other Car Costs","From 1 January 2017","","","","Hire car between 10 Feb and 13 Feb 17","","","140.44","13-Feb-2017",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Other Car Costs","Before 1 January 2017","","","","Flinders Island 19 Dec to 20 Dec 16","","","72.73","20-Dec-2016",""
"Ross Hart","Member","Bass","Tasmania","Australian Labor Party","Car Costs","Parking","Before 1 January 2017","","","","Parking 19 Dec 16","","","23.64","19-Dec-2016",""
