"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","29 Jan 17","Hobart","Human Rights","1","330.00","330.00","29-Jan-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Adelaide","Human Rights","1","362.00","362.00","01-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Perth","Human Rights","1","399.00","399.00","02-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","9 Feb 17","9 Feb 17","Brisbane","Human Rights","1","411.00","411.00","09-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Melbourne to Hobart","","","720.40","29-Jan-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Hobart to Melbourne","","","720.40","30-Jan-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Melbourne to Sydney","","","842.36","01-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Sydney to Adelaide","","","970.71","01-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Adelaide to Perth","","","1,496.11","02-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Perth to Melbourne","","","1,981.39","03-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Melbourne to Canberra","","","716.51","06-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Brisbane","","","799.62","09-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Brisbane to Melbourne","","","1,128.52","10-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","422.03","12-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","422.03","16-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Melbourne to Darwin","","","1,407.89","19-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Feb 17 - Darwin to Melbourne","","","1,407.89","20-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Melbourne to Canberra","","","751.97","26-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Melbourne","","","438.57","02-Mar-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Melbourne","","","751.97","23-Mar-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Melbourne","","","689.24","02-Dec-2016",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Melbourne to Canberra","","","689.24","12-Dec-2016",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Canberra to Melbourne","","","637.91","12-Dec-2016",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 12 Jan to 11 Feb 17","","","620.19","11-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 6 Feb to 19 Feb 17","","","115.74","19-Feb-2017",""
"Russell Broadbent","Member","McMillan","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 12 Feb to 11 Mar 17","","","620.19","11-Mar-2017",""
