"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","31 Jan 17","Melbourne","Community Affairs","1","382.00","382.00","31-Jan-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Burnie","Economics - Sen","1","314.00","314.00","02-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Perth","Environment and Communications","1","399.00","399.00","22-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","28 Feb 17","Canberra","Senate Estimates","3","276.00","828.00","26-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","6 Mar 17","Melbourne","Environment and Communications","1","382.00","382.00","06-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Mar 17","12 Mar 17","Brisbane","Legal and Constitutional Affairs","1","411.00","411.00","12-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","16 Mar 17","Canberra","Community Affairs","3","276.00","828.00","14-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","23 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","19-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Sydney to Melbourne","","","756.04","31-Jan-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Melbourne to Sydney","","","756.04","01-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Melbourne","","","756.04","02-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Melbourne to Burnie","","","466.70","02-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Burnie to Melbourne","","","466.70","03-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Melbourne to Sydney","","","756.04","03-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","341.03","10-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","118.33","12-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Sydney to Perth","","","2,209.93","22-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Perth to Sydney","","","2,209.93","23-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Sydney to Canberra","","","121.30","26-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Mar 17 - Sydney to Melbourne","","","768.76","06-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Sydney","","","883.94","07-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Mar 17 - Sydney to Brisbane","","","164.75","12-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Sydney to Canberra","","","121.30","14-Mar-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","10 Dec 16 - Sydney to Broken Hill","","","620.91","10-Dec-2016",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","11 Dec 16 - Broken Hill to Sydney","","","620.91","11-Dec-2016",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","11 Dec 16 - Sydney to Canberra","","","121.30","11-Dec-2016",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","12 Dec 16 - Canberra to Sydney","","","121.30","12-Dec-2016",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Sydney","","","44.90","31-Jan-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","31 Jan 17 - Melbourne","","","43.92","31-Jan-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Melbourne","","","54.60","01-Feb-2017",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","1 Feb 17 - Sydney","","","54.90","01-Feb-2017",""
