"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","29 Jan 17","Melbourne","Law Enforcement","1","382.00","382.00","29-Jan-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Townsville","Electoral Matters","1","297.00","297.00","30-Jan-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","1 Feb 17","Darwin","Law Enforcement","2","441.00","882.00","31-Jan-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","05-Feb-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","13-Feb-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Economics - Reps","1","400.00","400.00","23-Feb-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","1 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","26-Feb-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","2 Mar 17","Canberra","Economics - Reps","1","276.00","276.00","02-Mar-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Mar 17","8 Mar 17","Canberra","Economics - Reps","3","276.00","828.00","06-Mar-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","29 Jan 17 - Brisbane to Melbourne","","","616.77","29-Jan-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Melbourne to Brisbane","","","825.44","30-Jan-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","30 Jan 17 - Brisbane to Townsville","","","","30-Jan-2017",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Townsville to Cairns","","","542.61","31-Jan-2017",""
