"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","04-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Feb 17","16 Feb 17","Canberra","Foreign Affairs, Defence and Trade - JSC","1","276.00","276.00","16-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","26-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Newcastle to Canberra","","","369.25","12-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","17 Feb 17 - Canberra to Newcastle","","","378.51","17-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Newcastle to Canberra","","","757.02","26-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Newcastle","","","","03-Mar-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Newcastle to Canberra","","","378.51","19-Mar-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","28 Aug 16 - Newcastle to Canberra","","","30.54","28-Aug-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","12 Feb 17 - Sydney","","","78.50","12-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","13 Feb 17 - Canberra","","","40.00","13-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Canberra","","","72.05","17-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Feb 17 - Sydney","","","102.66","17-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","26 Feb 17 - Sydney","","","92.17","26-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","3 Mar 17 - Canberra","","","40.00","03-Mar-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","COMCAR","Before 1 January 2017","","","","2 Dec 16 - Sydney","","","64.84","02-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","15 Dec 16","","","19.95","15-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","15 Dec 16","","","9.78","15-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","27,590.70","01-Jan-1900",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","2,842.72","01-Jan-1900",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","686.54","31-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","905.00","31-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 24 Jan to 23 Feb 17","","","248.35","23-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 24 Jan to 23 Feb 17","","","11.26","23-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","159.46","28-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Office requisites and stationery 1 Nov to 30 Nov 16","","","37.54","30-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","Flags 1 Nov to 30 Nov 16","","","754.73","30-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Nov to 23 Dec 16","","","7.09","23-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Nov to 23 Dec 16","","","161.28","23-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 24 Dec 16 to 23 Jan 17","","","4.68","24-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 24 Dec 16 to 23 Jan 17","","","54.94","24-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Jan to 31 Jan 17","","","3.05","31-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution late payment fee Jan 17","","","15.00","01-Jan-1900",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","e-material 28 Jan 17","","","30.27","28-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution 1 Feb to 28 Feb 17","","","1,539.59","28-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","Distribution credit 1 Feb to 28 Feb 17","","","-11.36","28-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","4 Printed items 21 Feb 17","","","296.36","21-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2017","","","","12 Printed items 21 Feb 17","","","395.00","21-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1,500 Printed items 24 Nov 16","","","1,220.00","24-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","1,500 Personalised letterhead stationery 25 Nov 16","","","241.00","25-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","80,000 Printed items 30 Nov 16","","","10,678.00","30-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution credit 1 Dec to 31 Dec 16","","","-22.73","31-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","Distribution 1 Dec to 31 Dec 16","","","1,957.38","31-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 January 2017","","","","e-material 28 Dec 16","","","31.77","28-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","From 1 January 2017","","","","260 The Newcastle Herald and 1 The Newcastle Herald (digital) 20 Jan 17 to 19 Jan 18","","","378.18","20-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","260 The Newcastle Herald and 1 The Newcastle Herald (digital) 12 Jan 16 to 12 Jan 17","","","378.18","12-Jan-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian Financial Review (digital) 3 Aug 16 to 2 Aug 17","","","275.89","03-Aug-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian (digital) 4 Aug to 25 Aug 16","","","14.55","25-Aug-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian (digital) 26 Aug to 22 Sep 16","","","14.55","22-Sep-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Sydney Morning Herald (digital) 21 Sep to 20 Oct 16","","","22.93","20-Oct-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian (digital) 23 Sept to 20 Oct 16","","","14.55","20-Oct-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Sydney Morning Herald (digital) 21 Oct to 20 Nov 16","","","22.93","20-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian (digital) 21 Oct to 17 Nov 16","","","29.09","17-Nov-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian (digital) 18 Nov to 15 Dec 16","","","29.09","15-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Sydney Morning Herald (digital) 21 Nov to 20 Dec 16","","","22.93","20-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Australian (digital) 16 Dec 16 to 12 Jan 17","","","29.09","16-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Office Administrative Costs","Publications","Before 1 January 2017","","","","1 The Sydney Morning Herald (digital) 21 Dec 16 to 20 Jan 17","","","22.93","21-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 12 Jan 17","","","331.35","12-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 12 Jan 17","","","61.95","12-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 12 Feb 17","","","472.47","12-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 12 Feb 17","","","59.77","12-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office phones 9 Dec 16","","","394.50","09-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office fax 9 Dec 16","","","55.05","09-Dec-2016",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Dedicated data line 1 Jan 17","","","177.82","01-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Residential phones 5 Jan 17","","","32.54","05-Jan-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Dedicated data line 1 Feb 17","","","125.65","01-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Residential phones 8 Feb 17","","","31.77","08-Feb-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Dedicated data line 4 Mar 17","","","109.09","04-Mar-2017",""
"Sharon Claydon","Member","Newcastle","New South Wales","Australian Labor Party","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Residential phones 9 Mar 17","","","31.77","09-Mar-2017",""
