"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","3 Feb 17","5 Feb 17","Sydney","Minister - Official Business","3","442.00","1,326.00","03-Feb-2017","",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017","",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","1,104.00","20-Nov-2016","",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","23,999.78","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","105,541.75","01-Jan-1900","OS Ministerial - Fares",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","23,533.25","01-Jan-1900","OS Ministerial - Ground transport",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","819.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","1,080.52","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","2,161.83","01-Jan-1900","OS Ministerial - Travel advance",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-19,975.00","01-Jan-1900","OS Ministerial - Fares",""
"Steven Ciobo","Member","Moncrieff","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-48.00*","01-Jan-1900","OS Ministerial - Travel advance",""
