"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","25 Jan 17","25 Jan 17","Griffith","Electorate Business","1","286.00","286.00","25-Jan-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Hay","Electorate Business","1","268.00","268.00","02-Feb-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Griffith","Electorate Business","1","286.00","286.00","21-Feb-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","24 Feb 17","25 Feb 17","Balranald","Electorate Business","2","268.00","536.00","24-Feb-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Mar 17","2 Mar 17","Sydney","Electorate Business","1","400.00","400.00","02-Mar-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Mar 17","4 Mar 17","Griffith","Electorate Business","1","286.00","286.00","04-Mar-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Mar 17","13 Mar 17","Griffith","Electorate Business","1","286.00","286.00","13-Mar-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Mar 17","16 Mar 17","Griffith","Electorate Business","1","286.00","286.00","16-Mar-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","13 Oct 13","14 Oct 13","Gold Coast","Minister - Official Business","2","357.00","714.00*","13-Oct-2013","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","*","","","","","","","01-Jan-1900","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","","Adjustment by Authority.","","","","","","01-Jan-1900","",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","381.00","01-Jan-1900","OS Ministerial - Passport costs",""
"Sussan Ley","Member","Farrer","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","-5,285.86*","01-Jan-1900","OS Ministerial - Accommodation and meals",""
