"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","8 Feb 17","Canberra","Sittings of Parliament","3","276.00","828.00","06-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","15 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","12-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Perth","Shadow Minister - Official Business","1","399.00","399.00","21-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","7 Mar 17","7 Mar 17","Devonport","Shadow Minister - Official Business","1","299.00","299.00","07-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","3","276.00","828.00","20-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","6 Feb 17 - Sydney to Canberra","","","554.99","06-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","554.99","09-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Sydney to Canberra","","","121.30","12-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Sydney","","","341.03","16-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Sydney to Perth","","","1,945.04","21-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Perth to Sydney","","","1,945.04","22-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Feb 17 - Sydney to Canberra","","","554.99","27-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Sydney","","","659.37","02-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Sydney to Melbourne","","","480.68","07-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Melbourne to Devonport","","","","07-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Devonport to Melbourne","","","1,231.01","08-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Melbourne to Sydney","","","","08-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Sydney to Melbourne","","","768.76","15-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","15 Mar 17 - Melbourne to Sydney","","","768.76","15-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","20 Mar 17 - Sydney to Canberra","","","121.30","20-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Mar 17 - Canberra to Sydney","","","659.37","23-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","7 Dec 16 - Sydney to Melbourne","","","756.04","07-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","7 Dec 16 - Melbourne to Sydney","","","756.04","07-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","15 Dec 16 - Melbourne to Sydney","","","756.04","15-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Jan to 22 Jan 17","","","206.17","22-Jan-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 8 Jan to 7 Feb 17","","","934.62","07-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 8 Jan to 7 Feb 17","","","1,102.48","07-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 29 Jan to 19 Feb 17","","","246.80","19-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel interest fee 31 Jan to 22 Feb 17","","","0.67","22-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 8 Feb to 7 Mar 17","","","1,102.48","07-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 4 Nov to 26 Nov 16","","","281.19","26-Nov-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 29 Nov to 28 Dec 16","","","1,105.53","28-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 1 Dec 16","","","56.33","01-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Admin charge 7 Dec 16","","","0.34","07-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 8 Dec 16 to 7 Jan 17","","","934.62","08-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","End of lease adj 8 Dec 16","","","-2,212.97","08-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 8 Dec 16 to 7 Jan 17","","","1,102.48","08-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Fuel 11 Dec to 20 Dec 16","","","138.86","20-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2017","","","","Lease 29 Dec 16 to 28 Jan 17","","","1,105.53","29-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","6 Feb 17 - Sydney","","","45.85","06-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Sydney","","","198.99","09-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","9 Feb 17 - Sydney","","","73.02","09-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Feb 17 - Sydney","","","183.27","16-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Sydney","","","85.85","21-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","21 Feb 17 - Perth","","","123.14","21-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Perth","","","157.20","22-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Perth","","","78.60","22-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","22 Feb 17 - Perth","","","75.98","22-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Feb 17 - Sydney","","","47.90","23-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Feb 17 - Sydney","","","78.60","27-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","2 Mar 17 - Sydney","","","43.80","02-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","6 Mar 17 - Sydney","","","194.05","06-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","7 Mar 17 - Sydney","","","44.10","07-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","8 Mar 17 - Sydney","","","40.00","08-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Sydney","","","40.00","15-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Melbourne","","","56.80","15-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","15 Mar 17 - Melbourne","","","61.15","15-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","17 Mar 17 - Sydney","","","176.85","17-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Mar 17 - Sydney","","","40.00","20-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Sydney","","","43.80","23-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","24 Mar 17 - Sydney","","","85.15","24-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Mar 17 - Sydney","","","40.00","27-Mar-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","11 Jan 17","","","10.65","11-Jan-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","11 Dec 16","","","13.04","11-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","14 Dec 16","","","15.82","14-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Car Costs","Cabcharge","Before 1 January 2017","","","","17 Dec 16","","","13.43","17-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","60,075.14","01-Jan-1900",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","3,930.01","01-Jan-1900",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Colour copy charge 28 Jan to 27 Feb 17","","","132.11","27-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 17","","","6.05","27-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Feb to 28 Feb 17","","","222.00","28-Feb-2017",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Nov to 27 Dec 16","","","44.79","27-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Nov to 27 Dec 16","","","9.08","27-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","5.23","28-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Monochrome copy charge 28 Dec 16 to 27 Jan 17","","","1.38","28-Dec-2016",""
"Tony Burke","Member","Watson","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","Before 1 January 2017","","","","MFD Colour copy charge 28 Dec 16 to 27 Jan 17","","","5.23","28-Dec-2016",""
