"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Mar 17","22 Mar 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","19-Mar-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Nov-2016",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Brisbane to Canberra","","","739.64","05-Feb-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Brisbane","","","739.64","10-Feb-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Brisbane","","","739.64","16-Feb-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Brisbane to Sydney","","","768.67","24-Feb-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","24 Feb 17 - Sydney to Brisbane","","","768.67","24-Feb-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Brisbane to Canberra","","","739.64","26-Feb-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Canberra to Brisbane","","","739.64","03-Mar-2017",""
"Trevor Evans","Member","Brisbane","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Brisbane to Canberra","","","839.17","07-Mar-2017",""
