"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Jan 17","24 Jan 17","Darwin","Electorate Business","2","441.00","882.00","23-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Jan 17","27 Jan 17","Perth","External Territory Visit","1","399.00","399.00","27-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","28 Jan 17","30 Jan 17","Christmas Island","External Territory Visit","3","334.00","1,002.00","28-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","31 Jan 17","3 Feb 17","Cocos (Keeling)","External Territory Visit","4","439.00","1,756.00","31-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","","","Islands","","","","","01-Jan-1900",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","05-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","17 Feb 17","Canberra","Sittings of Parliament","6","276.00","1,656.00","12-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","18 Feb 17","18 Feb 17","Darwin","Shadow Parliamentary Secretary - Official Business","1","441.00","441.00","18-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","20 Feb 17","Brisbane","Shadow Parliamentary Secretary - Official Business","2","411.00","822.00","19-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","22 Feb 17","Darwin","Electorate Business","2","441.00","882.00","21-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Shadow Parliamentary Secretary - Official Business","1","400.00","400.00","23-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","3 Mar 17","Canberra","Sittings of Parliament","6","276.00","1,656.00","26-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","1 Dec 16","2 Dec 16","Canberra","Sittings of Parliament","2","276.00","552.00","01-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","5 Dec 16","5 Dec 16","Darwin","Electorate Business","1","441.00","441.00","05-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","6 Dec 16","7 Dec 16","Melbourne","Shadow Parliamentary Secretary - Official Business","2","382.00","764.00","06-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Jan 17 - Alice Springs to Darwin","","","569.03","23-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","25 Jan 17 - Darwin to Alice Springs","","","869.61","25-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Alice Springs to Perth","","","684.28","27-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Perth to Cocos Islands","","","2,829.16","28-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Cocos Islands to Christmas Island","","","","28-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","31 Jan 17 - Christmas Island to Cocos Islands","","","","31-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Cocos Islands to Christmas Island","","","","04-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Christmas Island to Perth","","","","04-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Feb 17 - Perth to Melbourne","","","1,675.84","04-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Melbourne to Canberra","","","","05-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Sydney","","","1,152.51","10-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Alice Springs","","","","10-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Alice Springs to Melbourne","","","1,146.03","12-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Melbourne to Canberra","","","637.91","12-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Feb 17 - Canberra to Sydney","","","1,738.47","18-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Feb 17 - Sydney to Alice Springs","","","","18-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Feb 17 - Alice Springs to Darwin","","","","18-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Darwin to Brisbane","","","1,369.63","19-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Brisbane to Darwin","","","1,500.00","21-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Darwin to Alice Springs","","","869.61","23-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","23 Feb 17 - Alice Springs to Sydney","","","1,224.67","23-Feb-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Mar 17 - Canberra to Sydney","","","354.03","04-Mar-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","4 Mar 17 - Sydney to Alice Springs","","","1,224.67","04-Mar-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","7 Mar 17 - Alice Springs to Darwin","","","591.49","07-Mar-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Mar 17 - Darwin to Alice Springs","","","591.49","10-Mar-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Mar 17 - Alice Springs to Melbourne","","","1,223.18","16-Mar-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","18 Mar 17 - Melbourne to Canberra","","","637.91","18-Mar-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","3 Dec 16 - Canberra to Sydney","","","1,151.51","03-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","3 Dec 16 - Sydney to Alice Springs","","","","03-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","5 Dec 16 - Alice Springs to Darwin","","","869.61","05-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","6 Dec 16 - Darwin to Melbourne","","","1,407.89","06-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","8 Dec 16 - Melbourne to Alice Springs","","","1,165.22","08-Dec-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Jan 17","","","3.69","01-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 1 Jan 17","","","3.69","01-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","4WD Fuel 1 Jan 17","","","3.69","01-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 9 Jan to 22 Jan 17","","","494.24","22-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Fuel 11 Jan 17","","","70.02","11-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","4WD Fuel 14 Jan to 15 Jan 17","","","327.52","15-Jan-2017",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2017","","","","Lease 19 Jan to 18 Feb 17","","","2,636.17","18-Feb-2017",""
