"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","27 Jan 17","27 Jan 17","Adelaide","Assistant Minister - Official Business","1","386.00","386.00","27-Jan-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","01-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Brisbane","Assistant Minister - Official Business","1","434.00","434.00","02-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","8 Mar 17","8 Mar 17","Brisbane","Assistant Minister - Official Business","1","434.00","434.00","08-Mar-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","14 Mar 17","14 Mar 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","14-Mar-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","15 Mar 17","15 Mar 17","Melbourne","Assistant Minister - Official Business","1","442.00","442.00","15-Mar-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","16 Mar 17","16 Mar 17","Sydney","Assistant Minister - Official Business","1","442.00","442.00","16-Mar-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Canberra to Melbourne","","","870.20","27-Jan-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","27 Jan 17 - Melbourne to Adelaide","","","","27-Jan-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Adelaide to Melbourne","","","870.20","28-Jan-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","28 Jan 17 - Melbourne to Canberra","","","","28-Jan-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","1 Feb 17 - Canberra to Sydney","","","341.03","01-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Sydney to Brisbane","","","1,152.41","02-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Brisbane to Rockhampton","","","","02-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Feb 17 - Gladstone to Brisbane","","","429.68","02-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Feb 17 - Brisbane to Canberra","","","739.64","03-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","9 Feb 17 - Canberra to Sydney","","","341.03","09-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Sydney to Canberra","","","121.30","10-Feb-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Canberra to Sydney","","","886.22","08-Mar-2017",""
"Zed Seselja","Senator","","Australian Capital Territory","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","8 Mar 17 - Sydney to Brisbane","","","","08-Mar-2017",""
